Name,Discount_percentage,Price,Rating,Release,Ends,Started,Jogos Gratis
Angry Putin,-10%,"R$ 2,06",82.66%,02/2021,in 5 days,9 days ago,
Lolita Expedition,-25%,"R$ 23,54",82.64%,01/2022,in 3 days,4 days ago,
Zorbus,-30%,"R$ 14,34",82.63%,09/2022,in 5 days,9 days ago,
Instant Farmer - Logic Puzzle,-30%,"R$ 4,89",82.63%,02/2021,in 5 days,9 days ago,
Of Life and Land,-25%,"R$ 55,49",82.62%,04/2024,in 11 days,3 days ago,
Adorable Girls,-70%,"R$ 2,09",82.61%,02/2021,in 12 days,yesterday,
Rising Hell,-50%,"R$ 16,49",82.61%,05/2021,in 12 days,2 days ago,
Adverse Effects,-35%,"R$ 11,04",82.61%,11/2023,in 7 days,5 hours ago,
MHRD,-20%,"R$ 15,99",82.61%,01/2017,in 3 days,4 days ago,
CHUCHEL,-80%,"R$ 4,99",81.15%,03/2018,in 3 days,11 days ago,
Rage in Peace,-80%,"R$ 8,39",81.15%,11/2018,in 12 days,2 days ago,
Trainee Death Simulator,-10%,"R$ 18,44",81.15%,11/2024,in 11 days,3 days ago,
Sir Whoopass™: Immortal Death,-50%,"R$ 16,49",81.14%,08/2022,in 8 days,6 days ago,
Clock Simulator,-80%,"R$ 2,75",81.11%,07/2016,in 3 days,4 days ago,
Remember Me,-80%,"R$ 9,99",81.11%,06/2013,in 6 days,8 days ago,
Starship EVO,-40%,"R$ 35,99",81.10%,06/2020,in 19 hours,3 days ago,
Master of Love,-20%,"R$ 28,63",81.09%,09/2024,in 12 days,3 days ago,
Solo leeching~35-Year-Old Magician Journey,-20%,"R$ 28,63",81.03%,06/2024,in 3 days,4 days ago,
Funny Truck,-50%,"R$ 1,74",81.00%,07/2021,in 4 days,10 days ago,
Demon Hunter 5: Ascendance,-70%,"R$ 8,69",80.98%,04/2019,in 11 days,3 days ago,
Everafter Falls,-15%,"R$ 32,29",80.98%,06/2024,in 6 days,yesterday,
Chameleon Run Deluxe Edition,-80%,"R$ 4,09",80.97%,08/2019,in 10 days,4 days ago,
Mortal Glory 2,-25%,"R$ 28,86",80.94%,03/2024,in 5 days,2 days ago,
茉莉之夏 Jasmine Summer,-30%,"R$ 10,14",80.90%,12/2018,in 12 days,2 days ago,
Bean Stalker,-90%,"R$ 3,79",80.88%,06/2022,in 5 days,2 days ago,
Druidstone: The Secret of the Menhir Forest,-82%,"R$ 8,54",79.50%,05/2019,in 3 days,4 days ago,
Sore wa Maichiru Sakura no You ni -Re:BIRTH-,-30%,"R$ 75,59",79.50%,06/2024,in 4 days,6 days ago,
Blue Wednesday,-60%,"R$ 19,99",79.49%,08/2023,in 3 days,4 days ago,
Explorer of Yggdrasil,-50%,"R$ 18,99",79.43%,03/2021,in 11 days,yesterday,
Goosebumps: The Game,-90%,"R$ 2,06",79.41%,10/2015,in 6 days,8 days ago,
Rytmik Studio,-70%,"R$ 26,69",79.40%,11/2017,in 10 days,4 days ago,
Star Vikings Forever,-80%,"R$ 6,59",79.39%,10/2016,in 6 days,yesterday,
Noelle Does Her Best!,-20%,"R$ 30,39",79.34%,08/2022,in 11 days,yesterday,
HunterX,-50%,"R$ 14,49",79.33%,04/2022,in 5 days,9 days ago,
Telepath Tactics Liberated,-50%,"R$ 23,74",79.33%,03/2022,in 11 days,3 days ago,
Reigns: Her Majesty,-50%,"R$ 5,24",79.32%,12/2017,in 5 days,2 days ago,
完美恋人~fragile love,-15%,"R$ 8,91",79.32%,08/2024,in 11 days,3 days ago,
Attack of the Earthlings,-80%,"R$ 5,70",79.31%,02/2018,in 5 days,2 days ago,
Gladiator Guild Manager,-50%,"R$ 23,49",79.31%,06/2024,in 6 days,9 days ago,
Chevalier Historie,-40%,"R$ 22,79",79.30%,02/2022,in 11 days,yesterday,
Fantasy of Caocao 2,-30%,"R$ 20,99",79.29%,11/2023,in 2 days,9 days ago,
Indoorlands,-60%,"R$ 23,19",77.86%,10/2022,in 3 days,4 days ago,
TrackMania² Canyon,-50%,"R$ 29,99",77.85%,09/2011,in 2 days,12 days ago,
Strategic Command: American Civil War,-60%,"R$ 58,26",77.84%,07/2022,in 3 days,4 days ago,
Aurora Nights,-20%,"R$ 1,75",77.83%,05/2016,in 3 days,4 days ago,
Airline Tycoon Deluxe,-80%,"R$ 6,59",77.80%,08/1998,in 3 days,4 days ago,
Shadowhand: RPG Card Game,-75%,"R$ 11,74",77.80%,12/2017,in 5 days,9 days ago,
Factory Outlet Simulator,-25%,"R$ 26,24",77.80%,09/2024,in 8 days,6 days ago,
Dexodonex,-90%,"R$ 1,74",77.79%,12/2016,in 4 days,10 days ago,
Tank Warfare: Tunisia 1943,-80%,"R$ 14,59",77.75%,05/2017,in 6 days,3 hours ago,
Immortal Life,-40%,"R$ 27,60",77.73%,01/2024,in 5 days,2 days ago,
The Imperial Gatekeeper,-25%,"R$ 20,16",77.73%,09/2022,in 11 days,yesterday,
Asterigos: Curse of the Stars,-20%,"R$ 106,59",77.70%,10/2022,—,2 days ago,
MILF HUNTER,-72%,"R$ 1,95",77.68%,04/2022,in 3 days,4 days ago,
STRIDER™ / ストライダー飛竜®,-70%,"R$ 7,49",77.68%,02/2014,in 6 days,8 days ago,
Prison City,-20%,"R$ 15,99",77.68%,08/2023,in 3 days,4 days ago,
Menace from the Deep,-15%,"R$ 44,61",77.68%,11/2024,in 3 days,5 days ago,
Rhythm Fighter,-45%,"R$ 15,94",76.42%,05/2020,in 3 days,4 days ago,
Alex Kidd in Miracle World DX,-44%,"R$ 32,44",76.42%,06/2021,—,4 days ago,
Teenage Mutant Ninja Turtles: Splintered Fate,-10%,"R$ 58,49",76.41%,11/2024,in 3 days,9 days ago,
Byte Family,-90%,"R$ 1,74",76.38%,10/2016,in 4 days,10 days ago,
TrackMania² Valley,-50%,"R$ 29,99",76.37%,07/2013,in 2 days,12 days ago,
Combo Card Clashers,-25%,"R$ 28,86",76.36%,05/2024,in 4 days,10 days ago,
Tenderfoot Tactics,-67%,"R$ 15,50",76.33%,10/2020,in 5 days,2 days ago,
Northmark: Hour of the Wolf,-70%,"R$ 9,89",76.32%,08/2014,in 3 days,4 days ago,
Nebuchadnezzar,-50%,"R$ 18,99",76.29%,02/2021,in 3 days,4 days ago,
Ultra Space Battle Brawl,-85%,"R$ 4,94",76.28%,10/2018,in 12 days,2 days ago,
Kunoichi Botan,-60%,"R$ 11,59",76.26%,01/2019,in 11 days,yesterday,
Vigilantes,-60%,"R$ 11,59",76.26%,10/2018,in 10 days,4 days ago,
The World's Egg - For Those Who Dream,-20%,"R$ 33,59",76.26%,03/2024,in 11 days,yesterday,
Taboos: Cracks,-50%,"R$ 1,74",76.25%,05/2019,in 7 days,8 days ago,
Uncharted Tides: Port Royal,-70%,"R$ 14,09",76.17%,08/2019,in 11 days,3 days ago,
Moon Hunters,-90%,"R$ 4,69",76.16%,03/2016,in 6 days,yesterday,
Dead In Vinland,-80%,"R$ 11,99",74.78%,04/2018,in 5 days,2 days ago,
Lost Eidolons: Veil of the Witch,-20%,"R$ 55,99",74.77%,11/2024,in 3 days,10 days ago,
Tavern of Gods,-48%,"R$ 14,04",74.76%,08/2021,in 3 days,4 days ago,
Shera and the Three Treasures,-40%,"R$ 17,39",74.75%,12/2019,in 11 days,yesterday,
Helmetman,-70%,"R$ 17,99",74.74%,03/2023,in 12 days,2 days ago,
Demolish & Build 2017,-90%,"R$ 3,69",74.73%,10/2016,in 12 days,2 days ago,
Karma City Police,-67%,"R$ 8,21",74.72%,12/2021,in 11 days,3 days ago,
City of Beats,-70%,"R$ 17,99",74.68%,05/2023,in 11 days,3 days ago,
Silica,-44%,"R$ 44,78",74.67%,05/2023,in 3 days,4 days ago,
Second Front,-25%,"R$ 76,49",74.66%,01/2023,in 4 days,3 days ago,
Age of Gladiators,-70%,"R$ 5,99",74.65%,02/2016,in 3 days,4 days ago,
Family Mysteries 3: Criminal Mindset,-70%,"R$ 8,69",74.64%,07/2020,in 11 days,3 days ago,
Techtonica,-34%,"R$ 58,73",74.64%,11/2024,in 3 days,8 days ago,
"Kingdom, Dungeon, and Hero",-20%,"R$ 71,19",74.64%,07/2024,in 5 days,2 days ago,
SEX with HITLER: WW2,-45%,"R$ 7,58",74.60%,03/2023,in 5 days,9 days ago,
Dead Drop,-90%,"R$ 1,74",74.56%,04/2017,in 4 days,10 days ago,
Gelu,-90%,"R$ 1,74",73.03%,07/2017,in 11 days,3 days ago,
Fairy Biography2：Confidante,-25%,"R$ 10,11",73.02%,11/2022,in 18 hours,6 days ago,
Dungeon Rats,-60%,"R$ 10,59",73.01%,11/2016,in 3 days,4 days ago,
Classified: France '44,-45%,"R$ 70,95",73.00%,03/2024,in 12 days,2 days ago,
Tiny Tales: Heart of the Forest,-70%,"R$ 14,09",72.98%,07/2017,in 11 days,3 days ago,
Tetropunk,-90%,"R$ 1,74",72.96%,12/2017,in 4 days,10 days ago,
Yummy Girl,-40%,"R$ 2,09",72.95%,05/2021,in 3 days,4 days ago,
NEOMORPH,-22%,"R$ 2,72",72.95%,01/2020,in 3 days,4 days ago,
Food Girls - Bubbles' Drink Stand,-30%,"R$ 19,52",72.90%,07/2022,in 3 days,4 days ago,
DEAD OR ALIVE 6,-80%,"R$ 59,80",72.86%,03/2019,in 12 days,2 days ago,
Path of Kung Fu,-10%,"R$ 42,29",72.84%,09/2024,in 18 hours,13 days ago,
MagicShop3D,-20%,"R$ 13,59",72.83%,06/2022,in 5 days,9 days ago,
Supreme Ruler 2020 Gold,-70%,"R$ 5,99",72.79%,06/2008,in 3 days,4 days ago,
Lust Galaxy 🪐 🔞,-30%,"R$ 23,09",72.79%,08/2024,in 5 days,9 days ago,
Family Mysteries: Poisonous Promises,-80%,"R$ 9,39",72.75%,03/2020,in 11 days,3 days ago,
PERFECT ANGLE: The puzzle game based on optical illusions,-70%,"R$ 5,99",72.75%,12/2015,in 3 days,4 days ago,
Druid,-63%,"R$ 2,58",71.08%,01/2017,in 10 days,4 days ago,
Black Geyser: Couriers of Darkness,-50%,"R$ 28,99",71.08%,03/2022,in 3 days,4 days ago,
Keep in Mind: Remastered,-60%,"R$ 2,79",71.07%,03/2018,in 6 days,yesterday,
Sandwalkers,-48%,"R$ 38,98",71.07%,06/2024,in 5 days,2 days ago,
Kamikaze Kommittee Ouka 2,-30%,"R$ 20,29",71.04%,02/2022,in 11 days,yesterday,
My Stepsis is a Furry Futa Fox,-33%,"R$ 2,33",71.02%,10/2022,in 3 days,4 days ago,
Mad Smartphone Tycoon,-30%,"R$ 26,94",70.98%,09/2024,in 12 days,2 days ago,
UFO: Aftershock,-80%,"R$ 2,75",70.89%,10/2005,in 3 days,4 days ago,
XCOM®: Chimera Squad,-85%,"R$ 14,85",70.84%,04/2020,in 6 days,8 days ago,
HumanitZ,-30%,"R$ 41,99",70.83%,09/2023,in 11 days,3 days ago,
This Grand Life,-30%,"R$ 26,94",70.76%,04/2018,in 3 days,4 days ago,
Underground Garage,-20%,"R$ 59,19",70.75%,11/2024,in 6 days,8 days ago,
Romopolis,-80%,"R$ 3,39",70.74%,03/2009,in 3 days,4 days ago,
Zombie Bar Simulator,-25%,"R$ 28,49",70.69%,02/2021,in 3 days,4 days ago,
WWE 2K24,-61%,"R$ 248,76",70.63%,03/2024,—,6 hours ago,
Citystate II,-60%,"R$ 19,60",70.60%,09/2021,in 3 days,8 days ago,
无休仙途,-17%,"R$ 17,00",68.94%,07/2024,in 5 days,9 days ago,
Wild Indigo Ranch,-50%,"R$ 29,99",68.91%,09/2024,in 3 days,11 days ago,
iFAction Game Maker,-49%,"R$ 65,27",68.90%,01/2020,in 10 days,4 days ago,
Himeko Sutori,-50%,"R$ 28,99",68.86%,01/2021,in 3 days,4 days ago,
Z Dawn,-75%,"R$ 5,17",68.85%,12/2019,in 3 days,4 days ago,
Mato Anomalies,-60%,"R$ 30,00",68.76%,03/2023,in 5 days,9 days ago,
My Stepsis is a Futanari,-33%,"R$ 2,33",68.75%,10/2021,in 3 days,4 days ago,
Automachef,-85%,"R$ 11,98",68.74%,07/2019,in 3 days,11 days ago,
Time Lock VR 1,-29%,"R$ 7,72",68.74%,08/2017,—,yesterday,
aMAZE Double,-72%,"R$ 1,95",68.73%,11/2017,in 14 days,6 hours ago,
回门 Way Back Home,-50%,"R$ 11,75",68.73%,01/2021,in 5 days,2 days ago,
For The King II,-40%,"R$ 44,99",68.73%,11/2023,in 12 days,2 days ago,
Recipe for Disaster,-73%,"R$ 12,68",68.72%,08/2022,in 3 days,4 days ago,
Escape from Fortress Lugohm,-60%,"R$ 8,27",68.72%,08/2019,in 11 days,yesterday,
TRANSFORMERS: BATTLEGROUNDS,-60%,"R$ 18,99",68.71%,10/2020,in 2 days,7 days ago,
