Name,Discount_percentage,Price,Rating,Release,Ends,Started,Jogos Gratis
The Wraith of the Galaxy,-39%,"R$ 11,28",76.92%,02/2023,—,,
GIRLDIVERS,-20%,"R$ 37,59",76.92%,11/2024,,,
Princesses Never Lose!,-40%,"R$ 22,79",76.89%,03/2020,,,
Chronicles of Magic: Divided Kingdoms,-70%,"R$ 14,09",76.86%,03/2018,,,
DEPLOYMENT,-29%,"R$ 7,72",76.85%,04/2018,—,,
Checkmate Showdown,-75%,"R$ 9,99",76.83%,11/2023,,,
Concordia: Digital Edition,-35%,"R$ 63,69",76.82%,09/2021,,,
Snake Pass,-85%,"R$ 5,99",76.80%,03/2017,,,
Arma: Cold War Assault Mac/Linux,-80%,"R$ 3,99",76.80%,03/2017,,,
BalanCity,-88%,"R$ 1,91",76.78%,09/2016,,,
RUSLICSTAN INVADES,-60%,"R$ 13,19",76.77%,09/2023,,,
Journey to the West Survivor,-50%,"R$ 10,24",76.77%,03/2024,,,
Keyword: A Spider's Thread,-25%,"R$ 24,74",76.75%,09/2021,,,
Aggressors: Ancient Rome,-81%,"R$ 16,90",76.74%,08/2018,,,
Legend of Keepers: Career of a Dungeon Manager,-75%,"R$ 9,99",76.74%,04/2021,,,
8-Bit Hordes,-50%,"R$ 23,49",76.74%,08/2016,,,
I got GOONED by a FEMBOY,-33%,"R$ 2,33",76.71%,04/2024,,,
Return from Core,-25%,"R$ 39,36",76.71%,12/2023,,,
Time to Morp,-25%,"R$ 44,99",76.68%,03/2024,,,
Hot And Lovely ：Charm,-20%,"R$ 5,59",76.68%,02/2023,,,
Age of Wonders II: The Wizard's Throne,-75%,"R$ 8,99",76.67%,10/2010,,,
Shards of Infinity,-20%,"R$ 31,99",76.65%,05/2019,,,
Fantasy Quest Solitaire,-88%,"R$ 2,23",76.61%,01/2018,,,
Pixel Gladiator,-83%,"R$ 1,78",76.61%,09/2017,,,
The Secret Order 5: The Buried Kingdom,-70%,"R$ 14,09",76.59%,04/2017,,,
Avadon: The Black Fortress,-70%,"R$ 5,99",76.59%,08/2011,,,
挂姬恶魔 IDLE DEVILS,-20%,"R$ 11,03",76.58%,01/2024,,,
Treasure of a Blizzard,-90%,"R$ 4,69",76.57%,10/2016,,,
Naked Story,-9%,"R$ 77,01",76.57%,07/2019,—,,
Achilles: Legends Untold,-45%,"R$ 40,69",76.56%,11/2023,,,
Apostle: Rebellion,-30%,"R$ 26,59",76.53%,07/2022,,,
Unworthy,-80%,"R$ 5,79",76.51%,05/2018,,,
ContractVille,-20%,"R$ 47,99",76.48%,05/2024,,,
Barro,-8%,"R$ 4,02",76.45%,03/2018,—,,
Melody/心跳旋律,-55%,"R$ 3,91",76.44%,12/2020,,,
Trash Goblin,-10%,"R$ 42,29",76.44%,11/2024,,,
Chaos Galaxy,-60%,"R$ 18,79",76.43%,06/2020,,,
Mech Armada,-80%,"R$ 7,59",76.42%,06/2022,,,
Rhythm Fighter,-45%,"R$ 15,94",76.42%,05/2020,in 3 days,4 days ago,
Alex Kidd in Miracle World DX,-44%,"R$ 32,44",76.42%,06/2021,—,4 days ago,
Teenage Mutant Ninja Turtles: Splintered Fate,-10%,"R$ 58,49",76.41%,11/2024,in 3 days,9 days ago,
Byte Family,-90%,"R$ 1,74",76.38%,10/2016,in 4 days,10 days ago,
TrackMania² Valley,-50%,"R$ 29,99",76.37%,07/2013,in 2 days,12 days ago,
Combo Card Clashers,-25%,"R$ 28,86",76.36%,05/2024,in 4 days,10 days ago,
Tenderfoot Tactics,-67%,"R$ 15,50",76.33%,10/2020,in 5 days,2 days ago,
Northmark: Hour of the Wolf,-70%,"R$ 9,89",76.32%,08/2014,in 3 days,4 days ago,
Nebuchadnezzar,-50%,"R$ 18,99",76.29%,02/2021,in 3 days,4 days ago,
Ultra Space Battle Brawl,-85%,"R$ 4,94",76.28%,10/2018,in 12 days,2 days ago,
Kunoichi Botan,-60%,"R$ 11,59",76.26%,01/2019,in 11 days,yesterday,
Vigilantes,-60%,"R$ 11,59",76.26%,10/2018,in 10 days,4 days ago,
The World's Egg - For Those Who Dream,-20%,"R$ 33,59",76.26%,03/2024,in 11 days,yesterday,
Taboos: Cracks,-50%,"R$ 1,74",76.25%,05/2019,in 7 days,8 days ago,
Uncharted Tides: Port Royal,-70%,"R$ 14,09",76.17%,08/2019,in 11 days,3 days ago,
Moon Hunters,-90%,"R$ 4,69",76.16%,03/2016,in 6 days,yesterday,
Hentai Zodiac Puzzle,-50%,"R$ 1,74",76.14%,05/2019,,,
Shokudo Underworld,-20%,"R$ 16,39",76.14%,09/2024,,,
Broken Hearts Island,-70%,"R$ 2,09",76.12%,09/2023,,,
The Secret Order 2: Masked Intent,-75%,"R$ 11,74",76.05%,11/2015,,,
Soul Wargame,-45%,"R$ 21,99",76.05%,01/2023,,,
Worms Clan Wars,-90%,"R$ 12,69",76.04%,08/2013,,,
CD 2: Trap Master,-25%,"R$ 35,24",76.01%,03/2024,,,
Fabled Lands,-55%,"R$ 26,09",75.96%,05/2022,,,
Iron Sea Defenders,-28%,"R$ 12,79",75.96%,09/2016,—,,
Armored Suit Solgante,-20%,"R$ 33,59",75.95%,06/2024,,,
Beyond Good & Evil - 20th Anniversary Edition,-20%,"R$ 79,99",75.95%,06/2024,,,
Dreamscapes: The Sandman - Premium Edition,-30%,"R$ 16,45",75.94%,04/2014,,,
三國立志傳3,-30%,"R$ 18,54",75.90%,07/2023,,,
Tower of Ardia,-22%,"R$ 29,63",75.88%,09/2022,,,
Namariel Legends: Iron Lord Premium Edition,-20%,"R$ 18,80",75.88%,06/2013,,,
Of Blades & Tails,-40%,"R$ 28,19",75.87%,11/2023,,,
My Boss is a Futanari,-33%,"R$ 2,33",75.86%,02/2022,,,
Re:BF,-25%,"R$ 28,49",75.82%,03/2022,,,
Among Ass,-90%,"R$ 1,74",75.79%,12/2020,,,
Shio,-66%,"R$ 8,15",75.78%,05/2017,,,
Defend Your Life: TD,-65%,"R$ 11,54",75.78%,04/2015,,,
Cannibal Cuisine,-90%,"R$ 2,68",75.77%,05/2020,,,
illie,-90%,"R$ 1,74",75.77%,11/2017,,,
Alan's Automaton Workshop,-30%,"R$ 20,29",75.75%,01/2022,,,
Hentai Boy,-50%,"R$ 1,74",75.74%,05/2021,,,
Ten Dates,-35%,"R$ 32,49",75.72%,02/2023,,,
Dead Monarchy,-50%,"R$ 10,34",75.71%,05/2023,,,
"SEX, BEACH & GIRLS ⛱ 💦",-25%,"R$ 17,62",75.70%,08/2024,,,
HSS:Reload,-21%,"R$ 23,69",75.66%,09/2024,,,
MotoGP™15,-90%,"R$ 7,45",75.65%,06/2015,,,
TERRACOTTA,-75%,"R$ 14,99",75.64%,11/2022,,,
Fairy Biography,-20%,"R$ 10,71",75.64%,05/2022,,,
Moving Out 2,-60%,"R$ 43,60",75.58%,08/2023,,,
The Castles of Burgundy,-60%,"R$ 11,59",75.56%,02/2019,,,
1428: Shadows over Silesia,-66%,"R$ 20,39",75.52%,10/2022,,,
Terrible Laboratory,-60%,"R$ 9,11",75.51%,03/2019,,,
Capitalism Plus,-50%,"R$ 5,99",75.50%,10/1995,,,
Femboys & Fries,-33%,"R$ 2,33",75.50%,08/2022,,,
Party Animals,-40%,"R$ 38,97",75.49%,09/2023,,,
Sumoman,-90%,"R$ 3,19",75.48%,03/2017,,,
ARIA CHRONICLE,-50%,"R$ 17,49",75.48%,07/2020,,,
Air Missions: HIND,-50%,"R$ 15,99",75.47%,03/2016,,,
Hero of the Kingdom III,-85%,"R$ 4,94",75.45%,08/2018,,,
Encased: A Sci-Fi Post-Apocalyptic RPG,-80%,"R$ 29,80",75.45%,09/2021,,,
Clash of Chefs VR,-50%,"R$ 18,99",75.45%,09/2021,,,
JQ: dogs & cats,-50%,"R$ 1,74",75.45%,03/2018,,,
Femboy Bangers 2,-33%,"R$ 2,33",75.45%,09/2022,,,
Maiden Cops,-20%,"R$ 26,39",75.45%,09/2024,,,
Brewmaster: Beer Brewing Simulator,-75%,"R$ 8,99",75.43%,09/2022,,,
Skybreakers,-45%,"R$ 16,49",75.43%,11/2023,,,
Balrum,-50%,"R$ 15,49",75.42%,03/2016,,,
MotoGP™17,-90%,"R$ 7,45",75.38%,06/2017,,,
Seed of Evil,-65%,"R$ 9,41",75.38%,11/2018,,,
Seven Kingdoms 2 HD,-60%,"R$ 13,19",75.38%,02/2015,,,
Regalia: Of Men and Monarchs,-80%,"R$ 7,59",75.36%,05/2017,,,
My Yandere is a Futanari,-33%,"R$ 2,33",75.36%,04/2022,,,
Souls of Chronos,-50%,"R$ 24,06",75.35%,02/2023,,,
Anuchard,-75%,"R$ 11,74",75.33%,04/2022,,,
The Complex,-54%,"R$ 21,61",75.32%,03/2020,,,
Soccer Player Simulator,-50%,"R$ 1,74",75.31%,03/2019,,,
Ghost Files 2: Memory of a Crime,-70%,"R$ 14,09",75.28%,11/2019,,,
Seek Girl Ⅵ,-50%,"R$ 3,49",75.27%,09/2020,,,
Beneath Oresa,-50%,"R$ 34,99",75.26%,09/2023,,,
The Survivalists,-90%,"R$ 17,97",75.13%,10/2020,,,
Ecosystem,-30%,"R$ 26,59",75.13%,11/2024,,,
Succubus Prison,-20%,"R$ 37,59",75.12%,07/2023,,,
How to Build a Magnificent Kingdom,-30%,"R$ 33,24",75.10%,08/2022,,,
PalmRide,-24%,"R$ 11,11",75.10%,09/2021,—,,
Scorn,-75%,"R$ 49,75",75.02%,10/2022,,,
Age of Wonders,-75%,"R$ 5,49",75.02%,10/2010,,,
Thea 2: The Shattering,-60%,"R$ 23,99",75.01%,05/2019,,,
Not Without My Poop,-33%,"R$ 2,33",75.01%,02/2018,,,
63 Days,-26%,"R$ 70,47",75.01%,09/2024,,,
Hidden Cats In Town,-30%,"R$ 4,89",74.99%,04/2023,,,
Pathless Woods,-16%,"R$ 50,39",74.98%,04/2024,,,
Lumencraft,-75%,"R$ 14,99",74.97%,02/2023,,,
The Cabin - Summer Vacation,-40%,"R$ 9,60",74.96%,09/2022,,,
Vertical Kingdom,-20%,"R$ 47,99",74.95%,04/2024,,,
Atelier Totori ~The Adventurer of Arland~ DX,-50%,"R$ 99,50",74.90%,12/2018,,,
Discolored,-65%,"R$ 9,27",74.87%,11/2019,,,
Femboys of the Phalanx,-33%,"R$ 2,33",74.83%,04/2021,,,
"Dwarves: Glory, Death and Loot",-13%,"R$ 29,94",74.83%,08/2023,—,,
Braveland Wizard,-80%,"R$ 6,59",74.82%,12/2014,,,
Sagres,-50%,"R$ 29,99",74.79%,09/2023,,,
Dead In Vinland,-80%,"R$ 11,99",74.78%,04/2018,in 5 days,2 days ago,
Lost Eidolons: Veil of the Witch,-20%,"R$ 55,99",74.77%,11/2024,in 3 days,10 days ago,
Tavern of Gods,-48%,"R$ 14,04",74.76%,08/2021,in 3 days,4 days ago,
Shera and the Three Treasures,-40%,"R$ 17,39",74.75%,12/2019,in 11 days,yesterday,
Helmetman,-70%,"R$ 17,99",74.74%,03/2023,in 12 days,2 days ago,
Demolish & Build 2017,-90%,"R$ 3,69",74.73%,10/2016,in 12 days,2 days ago,
Karma City Police,-67%,"R$ 8,21",74.72%,12/2021,in 11 days,3 days ago,
City of Beats,-70%,"R$ 17,99",74.68%,05/2023,in 11 days,3 days ago,
Silica,-44%,"R$ 44,78",74.67%,05/2023,in 3 days,4 days ago,
Second Front,-25%,"R$ 76,49",74.66%,01/2023,in 4 days,3 days ago,
Age of Gladiators,-70%,"R$ 5,99",74.65%,02/2016,in 3 days,4 days ago,
Family Mysteries 3: Criminal Mindset,-70%,"R$ 8,69",74.64%,07/2020,in 11 days,3 days ago,
Techtonica,-34%,"R$ 58,73",74.64%,11/2024,in 3 days,8 days ago,
"Kingdom, Dungeon, and Hero",-20%,"R$ 71,19",74.64%,07/2024,in 5 days,2 days ago,
SEX with HITLER: WW2,-45%,"R$ 7,58",74.60%,03/2023,in 5 days,9 days ago,
Dead Drop,-90%,"R$ 1,74",74.56%,04/2017,in 4 days,10 days ago,
СИМУЛЯТОР ОДИНОЧЕСТВА В РУССКОЙ ДЕРЕВНЕ,-70%,"R$ 2,09",74.53%,04/2021,,,
Древняя Русь,-50%,"R$ 2,14",74.51%,04/2017,,,
NationWar2:Chronicle,-4%,"R$ 40,23",74.50%,10/2024,—,,
CUMVERSE [18+],-38%,"R$ 20,45",74.49%,11/2024,,,
Hot And Lovely 3,-25%,"R$ 5,24",74.46%,05/2020,,,
Samurai Vandalism,-20%,"R$ 59,19",74.42%,08/2023,,,
The Shapeshifting Detective,-57%,"R$ 20,20",74.40%,11/2018,,,
OVER‧DeviL: Legend of the sacred stone,-25%,"R$ 35,24",74.38%,10/2023,,,
Ben 10: Power Trip,-50%,"R$ 28,99",74.36%,10/2020,,,
Sex with the Devil,-85%,"R$ 3,97",74.34%,06/2021,,,
Saint Emiliana,-40%,"R$ 22,79",74.34%,09/2020,,,
Dungeon Town,-40%,"R$ 22,79",74.34%,09/2021,,,
Final Vendetta,-75%,"R$ 11,87",74.30%,06/2022,,,
9 Years of Shadows,-50%,"R$ 29,99",74.25%,03/2023,,,
Pathway,-70%,"R$ 14,99",74.24%,04/2019,,,
Hot And Lovely 5,-20%,"R$ 5,59",74.24%,08/2022,,,
Last Lovers 绿洲之爱,-40%,"R$ 11,15",74.22%,03/2022,,,
Eagle Island Twist,-20%,"R$ 15,99",74.22%,07/2019,,,
Medieval Kingdom Wars,-70%,"R$ 17,99",74.21%,01/2019,,,
Super Dungeon Boy,-50%,"R$ 1,74",74.18%,11/2017,,,
Putin kills: Coronavirus,-50%,"R$ 1,74",74.17%,05/2020,,,
Space Reign,-20%,"R$ 47,99",74.17%,06/2023,,,
Holy Knight Luviria,-50%,"R$ 18,99",74.14%,11/2019,,,
Galagan's Island: Reprymian Rising,-90%,"R$ 1,74",74.11%,06/2015,,,
CARNAGE OFFERING,-55%,"R$ 14,84",74.06%,04/2022,,,
PLATI NALOG: Favorite Russian Game,-50%,"R$ 1,74",74.06%,03/2018,,,
Among Ass 2: Butt Warfare,-50%,"R$ 1,74",74.03%,04/2021,,,
Flotsam,-25%,"R$ 35,61",74.01%,09/2019,,,
Furnish Master,-20%,"R$ 34,32",73.98%,02/2024,,,
Sparklite,-80%,"R$ 9,49",73.97%,11/2019,,,
Desktop Dungeons: Rewind,-50%,"R$ 29,99",73.97%,04/2023,,,
Ikonei Island: An Earthlock Adventure,-70%,"R$ 22,19",73.89%,11/2023,,,
Land of the Vikings,-66%,"R$ 26,22",73.89%,10/2023,,,
Stellar Monarch,-60%,"R$ 18,79",73.89%,12/2016,,,
Persian Nights 2: The Moonlight Veil,-70%,"R$ 14,09",73.87%,06/2020,,,
Sacred 2 Gold,-75%,"R$ 6,99",73.86%,12/2012,,,
Seven: Enhanced Edition,-82%,"R$ 16,01",73.84%,12/2017,,,
Gravity Field,-95%,"R$ 4,44",73.83%,02/2023,,,
GravNewton,-43%,"R$ 14,52",73.82%,07/2017,—,,
Poop Clicker,-50%,"R$ 1,74",73.79%,03/2022,,,
Riddles Of The Past,-79%,"R$ 2,93",73.74%,07/2016,,,
Obsidian Prince,-35%,"R$ 18,84",73.73%,05/2022,,,
The Manga Works,-50%,"R$ 9,29",73.72%,07/2022,,,
The Adventures of MICOCO,-40%,"R$ 14,10",73.72%,11/2022,,,
Hard West,-90%,"R$ 5,99",73.71%,11/2015,,,
Cities in Motion,-75%,"R$ 17,99",73.69%,02/2011,,,
Alessia's Dollhouse,-50%,"R$ 8,49",73.69%,07/2024,,,
Skyland: Heart of the Mountain,-70%,"R$ 8,69",73.66%,01/2019,,,
My Life as a Cult Leader,-25%,"R$ 35,24",73.66%,03/2023,,,
三國立志傳2,-30%,"R$ 18,54",73.63%,03/2023,,,
Agatha Christie - Hercule Poirot: The First Cases,-18%,"R$ 47,23",73.62%,09/2021,—,,
Vengeance of Mr. Peppermint,-50%,"R$ 29,99",73.60%,10/2023,,,
Bloodsports.TV,-90%,"R$ 3,29",73.58%,03/2015,,,
Blacksmith. Song of two Kings.,-35%,"R$ 48,09",73.58%,02/2024,,,
UFO: Aftermath,-80%,"R$ 2,75",73.56%,10/2003,,,
Kingdom of Atham: Crown of the Champions,-50%,"R$ 22,24",73.54%,01/2024,,,
彷徨之街 The Street of Adrift,-30%,"R$ 26,94",73.53%,05/2024,,,
Subterrain: Mines of Titan,-30%,"R$ 41,99",73.52%,03/2024,,,
Shadow Legend VR,-50%,"R$ 23,74",73.50%,03/2019,,,
Santa Rockstar,-8%,"R$ 16,12",73.50%,12/2016,—,,
Eventide 2: The Sorcerers Mirror,-75%,"R$ 11,74",73.46%,10/2016,,,
Sands of Aura,-50%,"R$ 36,99",73.41%,10/2023,,,
Princess of Zeven,-20%,"R$ 33,59",73.41%,10/2023,,,
Fight Angel Special Edition,-75%,"R$ 9,49",73.38%,12/2019,,,
Gravity Den,-90%,"R$ 1,74",73.35%,04/2016,,,
Kaiju Wars,-86%,"R$ 5,31",73.34%,04/2022,,,
Crypto Girls [18+] - SEXCoin,-75%,"R$ 3,62",73.34%,11/2021,,,
Donuts'n'Justice,-50%,"R$ 8,49",73.31%,11/2016,,,
Trials Evolution: Gold Edition,-75%,"R$ 14,99",73.28%,03/2013,,,
Demolish & Build 2018,-90%,"R$ 2,06",73.25%,03/2018,,,
Born Punk,-40%,"R$ 22,79",73.24%,06/2022,,,
ARMA: Gold Edition,-80%,"R$ 5,99",73.23%,07/2011,,,
"NejicomiSimulator Vol.1 (Gapping, Amputee sex slave, Petrify, Time Stop)",-50%,"R$ 60,00",73.19%,04/2021,,,
VR Dungeon Knight,-69%,"R$ 11,46",73.16%,04/2017,,,
Yooka-Laylee,-80%,"R$ 19,99",73.15%,04/2017,,,
Rogue Port - Red Nightmare,-90%,"R$ 1,74",73.14%,05/2016,,,
Furry Cyberfucker II,-60%,"R$ 5,79",73.14%,07/2022,,,
Movavi Video Editor 2023,-60%,"R$ 61,98",73.13%,11/2022,,,
Pretty Girls Mahjong Solitaire,-60%,"R$ 6,79",73.13%,08/2015,,,
SATANIC PANIC 666,-90%,"R$ 1,74",73.09%,06/2021,,,
Raiders! Forsaken Earth,-70%,"R$ 11,39",73.08%,11/2020,,,
Lethal VR,-75%,"R$ 6,72",73.06%,11/2016,,,
Buzz Aldrin's Space Program Manager,-80%,"R$ 17,79",73.05%,10/2014,,,
Aristocunts,-55%,"R$ 13,49",73.05%,06/2020,,,
Gelu,-90%,"R$ 1,74",73.03%,07/2017,in 11 days,3 days ago,
Fairy Biography2：Confidante,-25%,"R$ 10,11",73.02%,11/2022,in 18 hours,6 days ago,
Dungeon Rats,-60%,"R$ 10,59",73.01%,11/2016,in 3 days,4 days ago,
Classified: France '44,-45%,"R$ 70,95",73.00%,03/2024,in 12 days,2 days ago,
Tiny Tales: Heart of the Forest,-70%,"R$ 14,09",72.98%,07/2017,in 11 days,3 days ago,
Tetropunk,-90%,"R$ 1,74",72.96%,12/2017,in 4 days,10 days ago,
Yummy Girl,-40%,"R$ 2,09",72.95%,05/2021,in 3 days,4 days ago,
NEOMORPH,-22%,"R$ 2,72",72.95%,01/2020,in 3 days,4 days ago,
Food Girls - Bubbles' Drink Stand,-30%,"R$ 19,52",72.90%,07/2022,in 3 days,4 days ago,
DEAD OR ALIVE 6,-80%,"R$ 59,80",72.86%,03/2019,in 12 days,2 days ago,
Path of Kung Fu,-10%,"R$ 42,29",72.84%,09/2024,in 18 hours,13 days ago,
MagicShop3D,-20%,"R$ 13,59",72.83%,06/2022,in 5 days,9 days ago,
Supreme Ruler 2020 Gold,-70%,"R$ 5,99",72.79%,06/2008,in 3 days,4 days ago,
Lust Galaxy 🪐 🔞,-30%,"R$ 23,09",72.79%,08/2024,in 5 days,9 days ago,
Family Mysteries: Poisonous Promises,-80%,"R$ 9,39",72.75%,03/2020,in 11 days,3 days ago,
PERFECT ANGLE: The puzzle game based on optical illusions,-70%,"R$ 5,99",72.75%,12/2015,in 3 days,4 days ago,
Forest Fortress,-80%,"R$ 9,39",72.73%,04/2018,,,
Seek Girl Ⅳ,-50%,"R$ 1,74",72.71%,01/2020,,,
Fish Fillets 2,-80%,"R$ 3,99",72.68%,04/2007,,,
The Good Life,-50%,"R$ 28,99",72.68%,10/2021,,,
The Myth Seekers 2: The Sunken City,-70%,"R$ 14,09",72.62%,06/2019,,,
SKIBIDI: ESCAPE FROM TOILETS!,-70%,"R$ 5,09",72.60%,11/2023,,,
Inquisitor’s Heart and Soul,-94%,"R$ 4,01",72.57%,10/2021,,,
Phantom Doctrine,-90%,"R$ 10,79",72.54%,08/2018,,,
Uragun,-70%,"R$ 9,89",72.54%,03/2023,,,
Mirror Mysteries,-80%,"R$ 2,09",72.52%,04/2014,,,
Steam: Rails to Riches,-55%,"R$ 21,78",72.52%,03/2017,,,
Ben 10,-50%,"R$ 23,74",72.49%,11/2017,,,
Estate Agent Simulator,-25%,"R$ 37,49",72.42%,11/2023,,,
Qvabllock,-90%,"R$ 1,74",72.41%,04/2018,,,
Bratz™: Flaunt your fashion,-40%,"R$ 53,39",72.40%,11/2022,,,
Dragon Eclipse,-29%,"R$ 40,02",72.39%,06/2024,—,,
FURRY HITLER,-60%,"R$ 5,79",72.36%,05/2022,,,
Castle of no Escape 2,-41%,"R$ 9,50",72.29%,12/2016,—,,
Bottle: Pilgrim Redux,-75%,"R$ 3,44",72.25%,11/2017,,,
Arena Renovation,-23%,"R$ 55,84",72.22%,01/2024,—,,
Himegashima Island,-20%,"R$ 37,59",72.22%,08/2024,,,
Gaia Project,-60%,"R$ 18,99",72.21%,05/2021,,,
Femboy Besties,-33%,"R$ 2,33",72.20%,04/2021,,,
Godlike Burger,-80%,"R$ 8,99",72.13%,04/2022,,,
JQ: chemistry,-50%,"R$ 1,74",72.12%,04/2018,,,
Hell Division,-94%,"R$ 3,71",72.11%,06/2022,,,
Weable,-50%,"R$ 1,74",72.09%,08/2017,,,
Otome the Exorcist,-55%,"R$ 13,04",72.08%,08/2020,,,
Atelier Firis: The Alchemist and the Mysterious Journey DX,-50%,"R$ 99,50",72.08%,04/2021,,,
Puzzler World 2,-70%,"R$ 2,54",72.07%,10/2011,,,
Adorables,-90%,"R$ 1,74",72.05%,03/2016,,,
Ubersoldier II,-80%,"R$ 5,99",72.03%,07/2008,,,
Drizzlepath: Deja Vu,-75%,"R$ 3,44",72.03%,05/2018,,,
Black Forest,-67%,"R$ 15,50",72.03%,09/2023,,,
Queen's Quest 3: The End of Dawn,-75%,"R$ 11,74",72.00%,04/2017,,,
Divine Miko Koyori,-40%,"R$ 22,79",72.00%,01/2020,,,
Aborigenus,-81%,"R$ 1,74",71.96%,10/2018,,,
Nelke & the Legendary Alchemists ~Ateliers of the New World~,-70%,"R$ 89,70",71.96%,03/2019,,,
Bionic Dues,-75%,"R$ 8,24",71.95%,10/2013,,,
Nickelodeon All-Star Brawl 2,-60%,"R$ 53,99",71.95%,11/2023,,,
ReRoad,-60%,"R$ 18,79",71.95%,11/2020,,,
Spaceland: Sci-Fi Indie Tactics,-80%,"R$ 11,99",71.92%,09/2019,,,
Serafina and the Key to the Egg,-25%,"R$ 24,74",71.88%,06/2022,,,
Making History: The Great War,-50%,"R$ 44,49",71.87%,01/2015,,,
WARPZONE DRIFTER,-50%,"R$ 1,74",71.85%,11/2018,,,
Eight-Minute Empire,-50%,"R$ 19,24",71.82%,09/2017,,,
Outward Definitive Edition,-88%,"R$ 23,88",71.81%,05/2022,,,
Milky Quest II,-25%,"R$ 20,16",71.81%,01/2023,,,
Cyberpunk SFX,-7%,"R$ 42,90",71.80%,11/2020,—,,
First Feudal,-85%,"R$ 5,69",71.79%,04/2021,,,
My Therapist is a Futanari,-33%,"R$ 2,33",71.78%,01/2022,,,
Neko Puzzle,-31%,"R$ 2,40",71.77%,07/2021,,,
Ash of Gods: Redemption,-65%,"R$ 25,89",71.73%,03/2018,,,
NeonXSZ,-75%,"R$ 5,17",71.69%,02/2016,,,
The Ramen Sensei,-62%,"R$ 7,06",71.66%,09/2022,,,
天下霸圖,-25%,"R$ 19,86",71.64%,02/2023,,,
Kunoichi Demon Slayers,-20%,"R$ 33,59",71.64%,06/2023,,,
MXGP2 - The Official Motocross Videogame,-90%,"R$ 7,45",71.61%,04/2016,,,
Magical Swordmaiden,-50%,"R$ 18,99",71.61%,12/2020,,,
Sengoku Dynasty,-20%,"R$ 71,19",71.61%,11/2024,,,
Crimson Colosseum,-45%,"R$ 15,94",71.60%,07/2021,,,
Queen's Quest 5: Symphony of Death,-70%,"R$ 14,09",71.59%,07/2019,,,
Breachway,-30%,"R$ 34,99",71.57%,09/2024,,,
Stranded Sails - Explorers of the Cursed Islands,-88%,"R$ 5,33",71.56%,10/2019,,,
Everholm,-10%,"R$ 53,99",71.56%,11/2024,,,
Country Bumpkin Yutaka,-20%,"R$ 37,59",71.53%,05/2023,,,
Gearshifters,-75%,"R$ 11,87",71.49%,10/2021,,,
The Outer Worlds: Spacer's Choice Edition,-60%,"R$ 127,00",71.49%,03/2023,,,
Iron Harvest,-85%,"R$ 22,35",71.46%,09/2020,,,
CATGIRL LOVER 2,-55%,"R$ 3,14",71.43%,10/2019,,,
Megacraft Hentai Survival,-50%,"R$ 1,74",71.40%,02/2021,,,
Charterstone: Digital Edition,-50%,"R$ 48,99",71.39%,03/2020,,,
Tech Support: Error Unknown,-80%,"R$ 6,59",71.37%,02/2019,,,
Feel-A-Maze,-80%,"R$ 2,09",71.34%,11/2014,,,
Elmarion: Dragon time,-50%,"R$ 14,49",71.34%,03/2020,,,
Forsaken Quartet,-20%,"R$ 33,59",71.34%,05/2024,,,
Kung Fu Grand King,-50%,"R$ 13,44",71.30%,04/2022,,,
The Last Federation,-75%,"R$ 14,99",71.22%,04/2014,,,
Walking Zombie: Shooter,-65%,"R$ 5,94",71.20%,01/2018,,,
One Night With Kawaii,-50%,"R$ 1,74",71.17%,06/2024,,,
Zoo Simulator,-33%,"R$ 25,45",71.17%,07/2024,,,
Steelrising,-23%,"R$ 87,38",71.17%,09/2022,—,,
Restaurant Empire II,-60%,"R$ 23,99",71.14%,05/2009,,,
Snow Plowing Simulator,-26%,"R$ 46,84",71.11%,06/2024,—,,
Druid,-63%,"R$ 2,58",71.08%,01/2017,in 10 days,4 days ago,
Black Geyser: Couriers of Darkness,-50%,"R$ 28,99",71.08%,03/2022,in 3 days,4 days ago,
Keep in Mind: Remastered,-60%,"R$ 2,79",71.07%,03/2018,in 6 days,yesterday,
Sandwalkers,-48%,"R$ 38,98",71.07%,06/2024,in 5 days,2 days ago,
Kamikaze Kommittee Ouka 2,-30%,"R$ 20,29",71.04%,02/2022,in 11 days,yesterday,
My Stepsis is a Furry Futa Fox,-33%,"R$ 2,33",71.02%,10/2022,in 3 days,4 days ago,
Mad Smartphone Tycoon,-30%,"R$ 26,94",70.98%,09/2024,in 12 days,2 days ago,
UFO: Aftershock,-80%,"R$ 2,75",70.89%,10/2005,in 3 days,4 days ago,
XCOM®: Chimera Squad,-85%,"R$ 14,85",70.84%,04/2020,in 6 days,8 days ago,
HumanitZ,-30%,"R$ 41,99",70.83%,09/2023,in 11 days,3 days ago,
This Grand Life,-30%,"R$ 26,94",70.76%,04/2018,in 3 days,4 days ago,
Underground Garage,-20%,"R$ 59,19",70.75%,11/2024,in 6 days,8 days ago,
Romopolis,-80%,"R$ 3,39",70.74%,03/2009,in 3 days,4 days ago,
Zombie Bar Simulator,-25%,"R$ 28,49",70.69%,02/2021,in 3 days,4 days ago,
WWE 2K24,-61%,"R$ 248,76",70.63%,03/2024,—,6 hours ago,
Citystate II,-60%,"R$ 19,60",70.60%,09/2021,in 3 days,8 days ago,
晴末置雨,-30%,"R$ 3,14",70.60%,07/2022,,,
Alien Breed 3: Descent,-90%,"R$ 1,99",70.59%,11/2010,,,
